ID,Account,Type,Subtype,Datetime,Amount,Amount currency,Value,Value currency,Rate,Rate currency,Fee,Fee currency,Order ID
313191587,Main Account,Market,Buy,2024-01-02T11:52:53Z,0.00255000,BTC,105.41,EUR,41339,EUR,0.42166,EUR,1701320289251329
313191698,Main Account,Market,Buy,2024-01-02T11:54:28Z,0.00140000,BTC,57.85,EUR,41319,EUR,0.23139,EUR,1701320679727105
314525544,Main Account,Market,Sell,2024-01-09T19:38:24Z,0.00235000,BTC,100.86,EUR,42920,EUR,0.30259,EUR,1703911708667905
318324821,Main Account,Market,Buy,2024-02-02T21:04:36Z,1.00000000,SOL,91.98,EUR,91.9824,EUR,0.36793,EUR,1712426606616576
318325088,Main Account,Market,Buy,2024-02-02T21:09:04Z,150.00000000,ADA,70.78,EUR,0.47184,EUR,0.28310,EUR,1712427703738369
320068737,Main Account,Market,Sell,2024-02-14T20:41:45Z,0.00200000,BTC,96.50,EUR,48252,EUR,0.38602,EUR,1716667722543104
343462184,Main Account,Market,Sell,2024-06-09T21:51:39Z,0.00100000,BTC,64.80,EUR,64800,EUR,0.19440,EUR,1757665817812992
343564056,Main Account,Market,Sell,2024-06-10T15:18:37Z,0.00100000,BTC,65.10,EUR,65100,EUR,0.19530,EUR,1757665988468736
344642436,Main Account,Market,Sell,2024-06-17T14:23:27Z,100.00000000,XRP,48.00,EUR,0.48000,EUR,0.14400,EUR,1758051844403201
349446114,Main Account,Market,Sell,2024-07-19T14:21:10Z,0.60000000,SOL,93.00,EUR,155.000,EUR,0.27900,EUR,1757666622464005
383772429,Main Account,Market,Buy,2024-12-19T22:00:20Z,25.00000000,ADA,21.49,EUR,0.85971,EUR,0.08597,EUR,1826040407371776